repository_name,language
swift-crypto,Assembly
swift-distributed-actors,Swift
swift-distributed-tracing,Swift
swift-distributed-tracing-baggage-core,Swift
swift-distributed-tracing-extras,Swift
swift-embedded-examples,Swift
swift-evolution-staging,Swift
swift-for-wasm-examples,Swift
swift-getting-started-cli,Swift
swift-getting-started-package-library,Swift
swift-homomorphic-encryption,Swift
swift-homomorphic-encryption-protobuf,
swift-http-structured-headers,Swift
swift-http-types,Swift
swift-internals,HTML
swift-issues,
swift-libcxx,C++
swift-llbuild2,Swift
swift-lldb,C++
swift-llvm,LLVM
swift-log,Swift
swift-matter-examples,Swift
swift-metrics,Swift
swift-metrics-extras,Swift
swift-migration-guide,Markdown
swift-mmio,Swift
swift-nio,Swift
swift-nio-examples,Swift
swift-nio-extras,Swift
swift-nio-http2,Swift
swift-nio-imap,Swift
swift-nio-nghttp2-support,Swift
swift-nio-oblivious-http,Swift
swift-nio-ssh,Swift
swift-nio-ssl,C++
swift-nio-ssl-support,Swift
swift-nio-transport-services,Swift
swift-nio-zlib-support,Swift
swift-numerics,Swift
swift-openapi-generator,Swift
swift-openapi-runtime,Swift
swift-openapi-urlsession,Swift
swift-playdate-examples,Swift
swift-protobuf,Swift
swift-protobuf-plugin,
swift-protobuf-test-conformance,
swift-sample-distributed-actors-transport,Swift
swift-service-context,Swift
swift-service-discovery,Swift
swift-standard-library-preview,Swift
swift-statsd-client,Swift
swift-string-processing-benchmarks,Swift
swift-system,Swift
swift-tools-support-async,Swift
swift-xcode-playground-support,Swift
swiftpm-on-llbuild2,Swift
tensor-visualizer,Svelte
tensorflow_macos,Shell
ToolSandbox,Python
tree-sitter-pkl,C
turicreate,C++
unityplugins,C#
VideoFlashingReduction,Mathematica
vqg-multimodal-assistant,Python
